aca,Albany
pah,Pepperdine
pan,Portland
sbt,St. Mary's
sad,San Diego
saf,San Francisco
sai,Santa Clara
bal,Boise St.
far,Fresno St.
hae,Hawaii
iaa,Idaho
lap,Louisiana Tech
nak,Nevada
nan,New Mexico St.
sag,San Jose St.
uaf,Utah St.
